,Avg_Connected_UEs,HO Failures,PRB Util%,HQ_EXE_TOTARGET_FAILURE_QCI_1,DL Packet Loss Pct,Bearer Drop Voice%,Bearer Drops,RRC Setup Failures,Bearer Setup Failure Voice%,HO_fail_InterFreq,Combined RACH Failure%,Avg CQI,QCI 1 Bearer Drop%,ERAB Setup Fail%,HO Failure%,TIMESTAMP,Bearer Drop%
27,21.14,0,6.55,0,0,0,0,0,0,0,0,10.9,0,0,0,1.69E+12,0
28,18.93,0,5.83,0,0,0,0,0,0,0,0,11.42,0,0,0,1.69E+12,0
29,20.01,0,9.18,0,0,0,0,0,0,0,0,11.08,0,0,0,1.69E+12,0
30,23.42,0,8.34,0,0,0,0,0,0,0,0.04,10.53,0,0,0,1.69E+12,0
31,34.18,0,20.14,0,0.04,0,1,0,0,0,0,9.6,0,0,0,1.69E+12,0.01
32,44.12,0,32.5,0,0,0,0,0,0,0,0.06,8.27,0,0,0,1.69E+12,0
33,50.97,0,38.78,0,0,0,0,2,0,0,0.07,7.89,0,0,0,1.69E+12,0
34,57.72,0,50.65,0,0,0,0,1,0,0,0.07,7.91,0,0,0,1.69E+12,0
35,55.1,0,48.51,0,0,0,0,7,0,1,0.05,8.31,0,0,0,1.69E+12,0
36,51.15,0,43.03,0,0.01,0,2,0,0,0,0.02,7.56,0,0,0,1.69E+12,0.01
37,46.84,0,46.74,0,0,0,0,4,0,0,0.09,7.89,0,0,0,1.69E+12,0
38,43.46,0,35.54,0,0,0,0,0,0,0,0.07,8,0,0,0,1.69E+12,0
39,41.92,0,33.91,0,3.13,0,1,1,0,0,0.06,8.13,0,0,0,1.69E+12,0.01
40,39.73,0,24.19,0.02,0.01,0,0,0,0,0,0.1,8.91,0,0.02,0,1.69E+12,0
41,33.53,0,31.87,0,0,0,0,1,0,0,0.07,8.67,0,0,0,1.69E+12,0
42,32.71,0,27.02,0.02,0,0,0,1,0,0,0.07,8.05,0,0.02,0,1.69E+12,0
43,30.76,0,24.14,0,0,0,0,0,0,0,0.07,9.07,0,0,0,1.69E+12,0
44,30.88,0,27.55,0,0.02,0,3,2,0,0,0,8.23,0,0,0,1.69E+12,0.04
45,31.51,0,32.47,0,0,0,0,1,0,0,0,8.43,0,0,0,1.69E+12,0
46,31.32,0,29.97,0,0,0,0,0,0,0,0.04,8.41,0,0,0,1.69E+12,0
47,26.23,0,17.92,0,0,0,0,0,0,0,0.04,9.16,0,0,0,1.69E+12,0
48,19.55,0,14.15,0,0,0,0,0,0,0,0.05,10.11,0,0,0,1.69E+12,0
49,18.76,0,5.99,0,0,0,0,0,0,0,0,9.9,0,0,0,1.69E+12,0
50,18.96,0,5.76,0,0.01,0,0,0,0,0,0,9.91,0,0,0,1.69E+12,0
51,17.41,0,3.77,0,0,0,0,0,0,0,0,9.88,0,0,0,1.69E+12,0
52,16.1,0,3.73,0,0,0,0,0,0,0,0.05,9.72,0,0,0,1.69E+12,0
53,17.74,0,5.15,0,0,0.027643312,0,0,0,0,0,10.11,0.027643312,0,0,1.69E+12,0
54,19.14,0,6.84,0,0.05,0.027643312,0,0,0,0,0,9.87,0.027643312,0,0,1.69E+12,0
55,26.4,0,16.46,0,0,0,0,0,0,0,0,8.95,0,0,0,1.69E+12,0
56,31.56,0,17.7,0,0,0,1,0,0,0,0,9.08,0,0,0,1.69E+12,0.01
57,42.64,0,24.35,0.02,0,0,0,0,0,0,0.03,8.86,0,0.01,0,1.69E+12,0
58,44.25,0,25.36,0,0,0,0,0,0,0,0,9,0,0,0,1.69E+12,0
59,48.28,0,35.67,0.03,0,0,0,2,0,1,0.02,8.62,0,0.03,0,1.69E+12,0
60,41.36,0,26.54,0,0,0,0,0,0,0,0.06,9.05,0,0,0,1.69E+12,0
61,46.65,0,34.84,0,0,0,0,4,0,0,0.1,9.1,0,0,0,1.69E+12,0
62,41.81,0,31.1,0,0,0,0,0,0,0,0.03,10.06,0,0,0,1.69E+12,0
63,40.6,0,30.42,0,0,0,1,0,0,0,0,9.15,0,0,0,1.69E+12,0.01
64,38.53,0,31.18,0.02,0,0,0,0,0,0,0.04,9.79,0,0.01,0,1.69E+12,0
65,35.45,0,42.39,0.02,0,0,0,0,0,0,0,8.94,0,0.02,0,1.69E+12,0
66,38.9,0,49.96,0,0,0,0,0,0,0,0,9.07,0,0,0,1.69E+12,0
